TimeStamp,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
20220826014922,GET,Verify Cart,4105,0,560.0,917.3957394691852,140.87617099994532,28669.41176199998,681210.2981729598,7.070966162860455,0.0,560,810,1100,1300,2100,3000,4100,5100,7000,29000,29000
20220826013621,POST,Add to Bag,7269,0,1900.0,2161.0439417177045,833.3211799999845,9400.031377000232,18572.677397166048,12.434751286659887,0.0,1900,2300,2600,2800,3500,4300,5400,6300,8000,9400,9400
20220826013621,GET,Get Cookies,3673,0,440.0,689.5325933422286,135.7939620002071,4634.182973999941,656609.8690443779,6.283235861315418,0.0,440,670,870,1000,1500,2000,2700,3200,4100,4600,4600
20220826013621,GET,Get PLPs,3661,0,1400.0,1617.3457342043207,693.8648840000496,6974.594688999787,1158140.4018027862,6.262708001164101,0.0,1400,1700,2000,2200,2700,3300,4000,4400,5500,7000,7000
20220826013621,GET,Get cfuid,3676,0,340.0,563.432986985316,119.40317500011588,4153.383346999817,674001.5059847661,6.288367826353246,0.0,340,530,690,830,1300,1800,2300,2800,3800,4200,4200
20220826013621,GET,Go to Delivery Page,3608,0,1400.0,1631.2526470465605,477.86794700004975,8149.265176999961,748925.7258869179,6.1720432854957865,0.0,1400,1700,2000,2200,2900,3600,4400,5100,7200,8100,8100
20220826013621,GET,Go to Payment Page,3580,0,1500.0,1683.6772493905055,508.9850330000445,6415.347007000037,716785.3078212291,6.124144945142716,0.0,1500,1800,2100,2300,2900,3400,4200,4800,6200,6400,6400
20220826013621,GET,Open PDP Page,7301,0,140.0,267.82325117641625,50.69188999959806,3786.989117000303,170939.56334748663,12.489492247063398,0.0,140,220,300,360,630,970,1400,1700,3000,3800,3800
20220826013621,POST,Set Shipment Information,3594,0,2700.0,3246.3063946455163,1308.5897480000312,12522.505028000069,15.0,6.148094115319251,0.0,2700,3400,3800,4200,5300,6800,8500,9700,12000,13000,13000
20220826013621,GET,Verify Cart,3615,0,1400.0,1643.1416264309814,495.81461300022056,8187.507056999948,713387.9402489626,6.184017870584055,0.0,1400,1700,2000,2200,2800,3600,4700,5300,7100,8200,8200
20220826012213,POST,Add to Bag,9532,0,1900.0,2077.857664590955,805.7219020001867,7217.668619000051,18754.370436424677,12.167305125598125,0.0,1900,2200,2500,2700,3200,3700,4300,4900,6300,7200,7200
20220826012213,GET,Get Cookies,4811,0,530.0,735.9851813327808,139.11975499991058,4282.359951999979,656609.8956557888,6.141093680156586,0.0,530,740,920,1100,1500,2000,2700,3000,3900,4300,4300
20220826012213,GET,Get PLPs,4798,0,1600.0,1914.0135641673603,689.292013000113,12538.374704999796,1158140.6754897877,6.124499579586634,0.0,1600,2000,2300,2600,3200,3800,4600,5300,8400,13000,13000
20220826012213,GET,Get cfuid,4827,0,410.0,623.6145469622951,118.37732099979804,7566.177660999983,674001.6469857054,6.161517188550372,0.0,410,600,790,930,1400,1900,2400,2700,3700,7600,7600
20220826012213,GET,Go to Delivery Page,4725,0,1400.0,1742.316164305609,489.8337439999523,15494.443821000004,749164.6372486772,6.0313173225399845,0.0,1400,1800,2100,2300,3000,4000,5500,6100,9500,15000,15000
20220826012213,GET,Go to Payment Page,4676,0,1500.0,1777.431295304321,549.5987230001447,20195.876719000124,717031.5205303679,5.968770328084014,0.0,1500,1900,2200,2400,3000,3600,4800,5700,8900,20000,20000
20220826012213,GET,Open PDP Page,9567,0,150.0,277.7911782373777,49.72949300008622,4080.8970170000975,170990.78728964148,12.211981550209533,0.0,150,240,310,380,630,940,1500,1800,2900,4100,4100
20220826012213,POST,Set Shipment Information,4692,6,2600.0,3034.8118902653464,1355.3808359999948,16975.885371999993,15.89087809036658,5.989193836477801,0.0076588156476698,2600,3200,3600,3900,4800,5800,6900,7600,9700,17000,17000
20220826012213,GET,Verify Cart,4742,0,1400.0,1732.4729543452115,489.28696500001934,17077.55514900009,713631.8736819908,6.053017300208382,0.0,1400,1800,2100,2300,3000,3900,5500,6200,10000,17000,17000
20220825135803,POST,Add to Bag,123,0,1400.0,1447.022165626039,824.1722220000156,2205.0303200003327,18715.38211382114,0.6908412632647972,0.0,1400,1600,1700,1700,1900,2000,2100,2100,2200,2200,2200
20220825135803,GET,Get Cookies,63,0,300.0,384.1715538571826,185.268344999713,1405.3946269996231,656609.8571428572,0.3538455250868473,0.0,300,360,420,440,600,1100,1200,1400,1400,1400,1400
20220825135803,GET,Get PLPs,62,0,1400.0,1495.257515354854,944.7490180000386,2354.922106000231,1164444.677419355,0.3482289294505482,0.0,1500,1500,1600,1700,1900,2200,2200,2400,2400,2400,2400
20220825135803,GET,Get cfuid,63,0,240.0,284.3868009365559,149.02790900032414,1328.336632999708,674001.0952380953,0.3538455250868473,0.0,240,270,330,360,430,450,780,1300,1300,1300,1300
